epoch,step,test_dice,train_loss,val_dice,val_loss
0,49,,0.801048219203949,,
0,99,,0.6136978268623352,,
0,99,,,0.6530929803848267,0.6072895526885986
1,149,,0.45585542917251587,,
1,199,,0.41275525093078613,,
1,199,,,0.8746027946472168,0.406767874956131
2,249,,0.3443262577056885,,
2,299,,0.2912524342536926,,
2,299,,,0.8920062780380249,0.3046756088733673
3,349,,0.2639642059803009,,
3,399,,0.28021493554115295,,
3,399,,,0.8960839509963989,0.25126343965530396
4,449,,0.21119222044944763,,
4,499,,0.20387369394302368,,
4,499,,,0.9115291833877563,0.20058786869049072
5,549,,0.22414079308509827,,
5,599,,0.16585798561573029,,
5,599,,,0.9121063947677612,0.18417398631572723
6,649,,0.18590322136878967,,
6,699,,0.16745668649673462,,
6,699,,,0.9120245575904846,0.16310366988182068
7,749,,0.15255847573280334,,
7,799,,0.15083500742912292,,
7,799,,,0.9167323112487793,0.14327532052993774
8,849,,0.1254652738571167,,
8,899,,0.1399994194507599,,
8,899,,,0.9185807704925537,0.13856610655784607
9,949,,0.12206597626209259,,
9,999,,0.11653793603181839,,
9,999,,,0.9204649329185486,0.12682360410690308
10,1049,,0.1159067451953888,,
10,1099,,0.12453503906726837,,
10,1099,,,0.9130458831787109,0.12594987452030182
11,1149,,0.11915648728609085,,
11,1199,,0.10337468236684799,,
11,1199,,,0.9209296703338623,0.11473779380321503
12,1249,,0.11575426161289215,,
12,1299,,0.11840547621250153,,
12,1299,,,0.9194769859313965,0.11543001979589462
13,1349,,0.10754591226577759,,
13,1399,,0.09330883622169495,,
13,1399,,,0.9213401079177856,0.10844957083463669
14,1449,,0.09413337707519531,,
14,1499,,0.0878797322511673,,
14,1499,,,0.9270725846290588,0.10012245178222656
15,1549,,0.11408650875091553,,
15,1599,,0.0899415835738182,,
15,1599,,,0.9227344393730164,0.1023741364479065
16,1649,,0.09264011681079865,,
16,1699,,0.09581190347671509,,
16,1699,,,0.9239059686660767,0.09998495876789093
17,1749,,0.08959156274795532,,
17,1799,,0.11516313999891281,,
17,1799,,,0.9174206256866455,0.11020731180906296
18,1849,,0.08552762866020203,,
18,1899,,0.11770642548799515,,
18,1899,,,0.9284472465515137,0.0935169905424118
19,1949,,0.11388538777828217,,
19,1999,,0.11721055209636688,,
19,1999,,,0.9199075698852539,0.10073184221982956
20,2000,0.9185698628425598,,,
